Rk,player_id,Player,PlayerName,Race,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
33,bateske01,Keita Bates-Diop\bateske01,Keita Bates-Diop,Black,SF,25,SAS,30,245,12,0.518,0.254,0.313,3.8,17.7,10.6,6.6,2.2,1.7,8.4,14.8,0.1,0.3,0.3,0.068,-2.7,0.8,-2,0,1729217
34,batumni01,Nicolas Batum\batumni01,Nicolas Batum,Black,SF,32,LAC,67,1835,12.9,0.617,0.66,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,2.7,2.3,5,0.132,0.5,1,1.4,1.6,12213507
35,baynear01,Aron Baynes\baynear01,Aron Baynes,White,C,34,TOR,53,980,10.5,0.503,0.339,0.135,9.4,21.7,15.3,7,0.8,2.3,12.5,16.2,0.1,0.9,1,0.049,-3.5,-1.3,-4.7,-0.7,#N/A
36,bazemke01,Kent Bazemore\bazemke01,Kent Bazemore,Black,SF,31,GSW,67,1333,10.6,0.564,0.469,0.199,2.1,16,9.1,11.1,2.4,2.2,16.1,16.3,-0.2,2.1,1.8,0.065,-2.9,1.3,-1.7,0.1,2401537
37,bazleda01,Darius Bazley\bazleda01,Darius Bazley,Black,PF,20,OKC,55,1714,9.7,0.491,0.414,0.258,3.1,21.2,12,8.9,0.8,1.3,13.7,22.1,-2.3,1.4,-0.9,-0.026,-3.1,-1.4,-4.4,-1,2513040
38,bealbr01,Bradley Beal\bealbr01,Bradley Beal,Black,SG,27,WAS,60,2147,22.7,0.593,0.27,0.332,3.6,10.4,7,21.3,1.5,0.9,10.6,34.1,4.2,1.7,5.9,0.132,4.9,-1.7,3.2,2.8,34502130
39,beaslma01,Malik Beasley\beaslma01,Malik Beasley,Black,SG,24,MIN,37,1214,14.6,0.57,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24,0.9,0.4,1.3,0.053,1.7,-2.3,-0.6,0.4,14391964
40,belljo01,Jordan Bell\belljo01,Jordan Bell,#N/A,C,26,TOT,6,82,8,0.328,0.091,0.091,9.1,21.9,15.5,10.6,1.7,5.2,14.9,13.6,-0.1,0.1,0,-0.008,-5.2,-0.4,-5.6,-0.1,#N/A
41,bembrde01,DeAndre' Bembry\bembrde01,DeAndre' Bembry,Black,SF,26,TOR,51,972,11.2,0.57,0.232,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,0.1,1.1,1.2,0.059,-3.2,1.2,-2.1,0,1939350
42,bertada01,Davis Bertans\bertada01,Davis Bertans,White,PF,28,WAS,57,1464,11.4,0.62,0.895,0.241,1.3,10.8,6.1,4.4,1,0.7,5.9,15.9,2.1,1,3.1,0.101,0.4,-1.4,-1,0.4,16000000
43,beverpa01,Patrick Beverley\beverpa01,Patrick Beverley,Black,PG,32,LAC,37,832,12,0.58,0.641,0.205,4,11.8,8,12,1.7,3,12.4,14.6,1,1,2.1,0.119,-0.7,0.7,0,0.4,14320988
44,beysa01,Saddiq Bey\beysa01,Saddiq Bey,#N/A,SF,21,DET,70,1909,12.6,0.567,0.666,0.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,1.6,1.7,3.3,0.082,0.3,-1.1,-0.8,0.6,2824320
45,beyty01,Tyler Bey\beyty01,Tyler Bey,#N/A,SF,22,DAL,18,71,5.9,0.372,0.182,0.227,12.5,16.9,14.7,5.6,0,1.3,11,16.9,-0.1,0,0,-0.033,-5.5,-4.1,-9.6,-0.1,#N/A
46,birchkh01,Khem Birch\birchkh01,Khem Birch,Black,C,28,TOT,67,1529,15.1,0.552,0.137,0.339,11.6,15.3,13.4,8.5,1.5,3.1,9.2,13.6,2.3,1.4,3.8,0.118,-1,-0.3,-1.3,0.3,6350000
